record_id,timestamp_utc,device_id,device_type,location_city,edge_node_id,distance_to_edge_km,network_slice_id,qos_class,protocol,uplink_bandwidth_Mbps,downlink_bandwidth_Mbps,latency_ms,jitter_ms,throughput_Mbps,packet_size_bytes,packet_loss_pct,retransmissions,signal_rssi_dBm,cpu_usage_pct,memory_usage_pct,battery_level_pct,mobility_state,task_type,task_size_kb,model_size_mb,ai_accelerator,inference_time_ms,energy_consumption_j,offload_location,security_scheme,encryption_enabled,enrolled_in_federated_learning,federated_rounds,blockchain_enabled,priority,core_network_latency_ms,task_offload_success,notes,edge_processing_time_ms,end_to_end_latency_ms,is_urlc_like
1,2025-09-15T08:25:55,aut_13278,autonomous_vehicle,Hyderabad,edge_016,0.716,slice_9,mMTC,HTTP/3,41.557,26.999,2.441,0.401,64.844,445,1.653,0,-56,55.56,60.81,79.9,static,telemetry_aggregation,20.323,5.0,tiny_ml,1.525,13.457,edge,tls,True,1,2,False,medium,-4.75,1,,1.802,3.737,0
2,2025-09-18T12:25:13,ind_65392,industrial_sensor,Bengaluru,edge_018,1.795,slice_6,mMTC,HTTP/3,0.367,1.565,6.469,0.277,7.392,319,0.816,0,-57,21.46,25.23,67.0,vehicular,telemetry_aggregation,11.841,5.0,tiny_ml,3.812,0.576,hybrid,tls,True,0,0,False,medium,14.584,1,,4.236,10.071,0
3,2025-09-11T08:01:55,dro_85674,drone,Mumbai,edge_046,4.683,slice_5,eMBB,CoAP,15.089,11.841,7.611,0.265,30.705,111,1.466,1,-67,25.21,36.9,100.0,aerial,image_inference,23.212,1.0,npu,4.06,30.343,local,blockchain_enabled,True,0,0,True,low,19.713,1,,4.495,12.29,0
4,2025-09-13T21:13:30,ind_80010,industrial_sensor,Jaipur,edge_011,3.084,slice_9,eMBB,HTTP/3,0.878,1.261,7.951,0.082,9.829,86,1.289,0,-66,14.47,21.03,58.8,static,predictive_maintenance,106.959,50.0,tiny_ml,5.435,1.607,hybrid,blockchain_enabled,True,1,3,True,medium,7.79,1,,4.525,11.61,0
5,2025-09-24T06:36:03,rob_61856,robotic_arm,Delhi,edge_010,6.116,slice_9,eMBB,QUIC,11.116,43.481,2.415,0.414,55.475,163,1.206,2,-76,44.15,77.09,67.6,vehicular,telemetry_aggregation,31.275,0.5,gpu,1.023,8.04,local,tls,True,0,0,False,high,9.931,1,,0.914,6.795,0
6,2025-09-05T02:00:53,tra_88172,traffic_sensor,Kolkata,edge_025,7.659,slice_9,mMTC,HTTP/3,3.265,2.084,9.146,0.753,6.222,84,0.871,0,-62,25.03,32.95,55.7,static,video_analytics,7.381,0.5,edge_tpu,4.169,5.369,edge,blockchain_enabled,True,0,0,True,medium,17.378,1,,4.94,15.888,0
7,2025-09-10T16:08:39,sma_75612,smart_meter,Mumbai,edge_033,5.428,slice_9,eMBB,TCP,0.177,0.196,26.53,0.254,4.133,1034,0.972,1,-72,5.13,7.13,72.7,static,control_command,18.291,1.0,none,23.682,0.04,edge,blockchain_enabled,True,0,0,True,low,22.181,1,,23.688,49.744,0
8,2025-09-05T19:45:30,wea_84364,wearable,Jaipur,edge_006,3.609,slice_9,URLLC,UDP,0.237,0.942,18.854,0.062,-3.394,187,0.719,0,-64,8.77,18.46,88.7,vehicular,control_command,312.73,0.1,none,14.661,0.39,hybrid,tls,True,0,0,False,medium,14.071,1,,14.062,35.94,1
9,2025-09-20T03:03:58,tra_98039,traffic_sensor,Ahmedabad,edge_029,5.898,slice_4,URLLC,HTTP/3,1.264,1.72,5.712,1.099,-1.352,94,0.0,1,-74,26.42,46.44,83.6,static,predictive_maintenance,5.862,0.1,none,4.74,2.092,hybrid,tls,True,0,0,False,high,20.238,1,,5.385,11.271,1
10,2025-09-28T04:15:10,rob_38080,robotic_arm,Lucknow,edge_009,0.603,slice_8,eMBB,UDP,25.343,31.274,1.829,1.957,57.346,76,1.34,1,-61,38.62,75.67,83.5,aerial,video_analytics,12.526,1.0,none,1.323,64.626,edge,tls,True,0,0,False,high,14.353,1,,1.105,2.95,0
